fy,phase,riders_per_day,method
2025,2A,75754,ADB anchor CAGR
2026,2A,94715,ADB anchor CAGR
2027,2A,118421,ADB anchor CAGR
2028,2A,148062,ADB anchor CAGR
2029,2A,185121,ADB anchor CAGR
2030,2A,231455,ADB anchor CAGR
2031,2A,289387,ADB anchor CAGR
2032,2A,301281,ADB 4.11% p.a.
2033,2A,313663,ADB 4.11% p.a.
2034,2A,326555,ADB 4.11% p.a.
2035,2A,339976,ADB 4.11% p.a.
2036,2A,353949,ADB 4.11% p.a.
2037,2A,368497,ADB 4.11% p.a.
2038,2A,383642,ADB 4.11% p.a.
2039,2A,399410,ADB 4.11% p.a.
2040,2A,415825,ADB 4.11% p.a.
2041,2A,432916,ADB 4.11% p.a.
2042,2A,450709,ADB 4.11% p.a.
2043,2A,469233,ADB 4.11% p.a.
2044,2A,488518,ADB 4.11% p.a.
2045,2A,508596,ADB 4.11% p.a.
2025,2B,81840,ADB anchor CAGR
2026,2B,102249,ADB anchor CAGR
2027,2B,127748,ADB anchor CAGR
2028,2B,159605,ADB anchor CAGR
2029,2B,199407,ADB anchor CAGR
2030,2B,249135,ADB anchor CAGR
2031,2B,311264,ADB anchor CAGR
2032,2B,324057,ADB 4.11% p.a.
2033,2B,337376,ADB 4.11% p.a.
2034,2B,351242,ADB 4.11% p.a.
2035,2B,365678,ADB 4.11% p.a.
2036,2B,380707,ADB 4.11% p.a.
2037,2B,396354,ADB 4.11% p.a.
2038,2B,412644,ADB 4.11% p.a.
2039,2B,429604,ADB 4.11% p.a.
2040,2B,447261,ADB 4.11% p.a.
2041,2B,465643,ADB 4.11% p.a.
2042,2B,484781,ADB 4.11% p.a.
2043,2B,504706,ADB 4.11% p.a.
2044,2B,525449,ADB 4.11% p.a.
2045,2B,547045,ADB 4.11% p.a.
